,hrp2.Deletion.Allele.Frequency_A,Prevalence,Years,hrp2.Deletion.Allele.Frequency_B,Starting Frequency,Years,hrp2.Deletion.Allele.Frequency_CD,Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains,PCR.Prevalence
1,0.080042556,10,0.083333333,0.019875443,12,0.083333333,0.61600519,0.393707402,0.151172333
2,0.079053191,10,0.166666667,0.019847332,12,0.166666667,0.637853498,0.414398209,0.148620333
3,0.079611734,10,0.25,0.019814513,12,0.25,0.655774849,0.423164924,0.164625333
4,0.078903973,10,0.333333333,0.020193441,12,0.333333333,0.538232945,0.339917368,0.161923667
5,0.078777781,10,0.416666667,0.020361986,12,0.416666667,0.56447828,0.363030158,0.181156667
6,0.077690954,10,0.5,0.020133667,12,0.5,0.564981166,0.360725326,0.191288667
7,0.077889034,10,0.583333333,0.01999874,12,0.583333333,0.473068625,0.299044336,0.194733667
8,0.078652293,10,0.666666667,0.020015677,12,0.666666667,0.601119462,0.391011519,0.216825667
9,0.078909706,10,0.75,0.020499584,12,0.75,0.451475859,0.287657044,0.225918333
10,0.078532107,10,0.833333333,0.020595166,12,0.833333333,0.46581193,0.29789689,0.232845667
11,0.078205031,10,0.916666667,0.020632846,12,0.916666667,0.458417401,0.29698633,0.25141
12,0.078484504,10,1,0.02051184,12,1,0.475342566,0.304245888,0.257472667
13,0.0789013,10,1.083333333,0.020625553,12,1.083333333,0.432445344,0.278570008,0.268253333
14,0.079577811,10,1.166666667,0.02041973,12,1.166666667,0.354336618,0.221157629,0.282180333
15,0.080118892,10,1.25,0.020368354,12,1.25,0.387486528,0.24296899,0.305859333
16,0.079967223,10,1.333333333,0.02001686,12,1.333333333,0.345816651,0.212886687,0.321567
17,0.081451313,10,1.416666667,0.019820202,12,1.416666667,0.301087366,0.185370331,0.326469
18,0.081463519,10,1.5,0.019877155,12,1.5,0.326036044,0.201025751,0.351807333
19,0.0811077,10,1.583333333,0.019837256,12,1.583333333,0.305604925,0.18868186,0.365596
20,0.080636861,10,1.666666667,0.019796313,12,1.666666667,0.268196128,0.161761402,0.381279667
21,0.080845339,10,1.75,0.019767972,12,1.75,0.240489247,0.143216449,0.399712
22,0.081553407,10,1.833333333,0.019594848,12,1.833333333,0.217132728,0.128318998,0.409825
23,0.081426464,10,1.916666667,0.019566856,12,1.916666667,0.261529435,0.154293801,0.432002667
24,0.082289021,10,2,0.019420375,12,2,0.238563912,0.138961669,0.456476
25,0.082344329,10,2.083333333,0.019428825,12,2.083333333,0.214377182,0.123224985,0.465536
26,0.080285746,10,2.166666667,0.019373847,12,2.166666667,0.202671111,0.114258552,0.492287
27,0.080975828,10,2.25,0.019089272,12,2.25,0.188391384,0.102985086,0.506160667
28,0.080495529,10,2.333333333,0.018803775,12,2.333333333,0.160025928,0.085407459,0.522335333
29,0.079717405,10,2.416666667,0.018693247,12,2.416666667,0.173272227,0.092594889,0.543039333
30,0.079821658,10,2.5,0.018635679,12,2.5,0.163865426,0.083256137,0.559542333
31,0.079943527,10,2.583333333,0.018470356,12,2.583333333,0.14570612,0.073964909,0.578806
32,0.080080709,10,2.666666667,0.01844258,12,2.666666667,0.147583337,0.072596224,0.592377
33,0.080454328,10,2.75,0.018370269,12,2.75,0.151948884,0.0750805,0.606105
34,0.080253412,10,2.833333333,0.018465722,12,2.833333333,0.128733317,0.061480492,0.623585333
35,0.080712885,10,2.916666667,0.018507601,12,2.916666667,0.139450682,0.06434586,0.640036
36,0.080466966,10,3,0.018189169,12,3,0.129730906,0.059187102,0.656449333
37,0.081250444,10,3.083333333,0.018340863,12,3.083333333,0.135081978,0.058792724,0.674698
38,0.081170824,10,3.166666667,0.018267469,12,3.166666667,0.111736817,0.048732118,0.681569667
39,0.080682016,10,3.25,0.01812277,12,3.25,0.114226177,0.046547679,0.701417
40,0.080832796,10,3.333333333,0.017742702,12,3.333333333,0.120367657,0.047378821,0.712751667
41,0.080125402,10,3.416666667,0.017559554,12,3.416666667,0.112711073,0.044362064,0.729767667
42,0.079192717,10,3.5,0.017543708,12,3.5,0.106138801,0.040492917,0.741273667
43,0.079423626,10,3.583333333,0.01754113,12,3.583333333,0.100081435,0.036050981,0.756123667
44,0.07931148,10,3.666666667,0.017413327,12,3.666666667,0.100528245,0.035245759,0.769813667
45,0.078661584,10,3.75,0.017142645,12,3.75,0.104648509,0.034839843,0.777787667
46,0.078607289,10,3.833333333,0.016961979,12,3.833333333,0.100304874,0.030876181,0.791354333
47,0.07841242,10,3.916666667,0.016990088,12,3.916666667,0.096064081,0.030453396,0.801881
48,0.077822349,10,4,0.01691776,12,4,0.097864763,0.029145199,0.807806
49,0.078497875,10,4.083333333,0.016997885,12,4.083333333,0.094436628,0.026951379,0.823272667
50,0.077770152,10,4.166666667,0.016801884,12,4.166666667,0.091095481,0.025209194,0.831284
51,0.078083687,10,4.25,0.016800957,12,4.25,0.089778267,0.022970333,0.843566333
52,0.077408904,10,4.333333333,0.016711308,12,4.333333333,0.09242419,0.022847994,0.850446667
53,0.077428607,10,4.416666667,0.016790382,12,4.416666667,0.091144959,0.021891334,0.858878667
54,0.077846642,10,4.5,0.016627443,12,4.5,0.08838714,0.020599847,0.868598667
55,0.077451357,10,4.583333333,0.016706835,12,4.583333333,0.084385273,0.018471282,0.873987333
56,0.078237151,10,4.666666667,0.016612188,12,4.666666667,0.624587127,0.400853959,0.149343667
57,0.078688213,10,4.75,0.016529264,12,4.75,0.582481554,0.369370902,0.143014333
58,0.080923038,10,4.833333333,0.01660188,12,4.833333333,0.638957846,0.414194104,0.164932333
59,0.082139162,10,4.916666667,0.016739804,12,4.916666667,0.660753112,0.429804198,0.176181
60,0.082711664,10,5,0.01679522,12,5,0.582541229,0.376346658,0.181158333
61,0.084207914,10,5.083333333,0.016709436,12,5.083333333,0.632397983,0.413981223,0.202304667
62,0.084507538,10,5.166666667,0.016581657,12,5.166666667,0.476824568,0.302125665,0.197020667
63,0.084807087,10,5.25,0.016727129,12,5.25,0.561599635,0.36378115,0.209714
64,0.085512992,10,5.333333333,0.016564626,12,5.333333333,0.436240426,0.278884045,0.222804667
65,0.086410707,10,5.416666667,0.016660388,12,5.416666667,0.431065223,0.27246967,0.228211333
66,0.086350414,10,5.5,0.016634592,12,5.5,0.447961541,0.284557765,0.246223
