FigA,,Years until 20% infected with only hrp2 deletions,PfPR,ft,PfPR_grouped,lessthan5, 20+,FigB,,Years.until.20..infected.with.only.hrp2.deletions,hrp2d,PfPR,ft,PfPR_grouped,lessthan5, 20+
,1,7.016666667,0.146567347,0.2,0.0 - 0.15,FALSE,NA,,1,9.8,0.791875705,0.146567347,0.2,0.0 - 0.15,FALSE,NA
,2,7.675,0.161381224,0.2,0.15 - 0.2,FALSE,NA,,2,10.4,0.777524134,0.161381224,0.2,0.15 - 0.2,FALSE,NA
,3,7.116666667,0.168063061,0.2,0.15 - 0.2,FALSE,NA,,3,9.625,0.812524605,0.168063061,0.2,0.15 - 0.2,FALSE,NA
,4,7.383333333,0.180549592,0.2,0.15 - 0.2,FALSE,NA,,4,11.325,0.714424617,0.180549592,0.2,0.15 - 0.2,FALSE,NA
,5,7.633333333,0.182137823,0.2,0.15 - 0.2,FALSE,NA,,5,9.816666667,0.788224451,0.182137823,0.2,0.15 - 0.2,FALSE,NA
,6,7.975,0.205185238,0.2,0.2 - 0.25,FALSE,NA,,6,11.10833333,0.706512768,0.205185238,0.2,0.2 - 0.25,FALSE,NA
,7,8.516666667,0.209392721,0.2,0.2 - 0.25,FALSE,NA,,7,10.88333333,0.745375321,0.209392721,0.2,0.2 - 0.25,FALSE,NA
,8,8.825,0.224990068,0.2,0.2 - 0.25,FALSE,NA,,8,10.68333333,0.712926717,0.224990068,0.2,0.2 - 0.25,FALSE,NA
,9,8.466666667,0.242270408,0.2,0.2 - 0.25,FALSE,NA,,9,11.63333333,0.675682291,0.242270408,0.2,0.2 - 0.25,FALSE,NA
,10,8.941666667,0.250225578,0.2,0.25 - 0.3,FALSE,NA,,10,12.85,0.616850937,0.250225578,0.2,0.25 - 0.3,FALSE,NA
,11,10.25833333,0.269463741,0.2,0.25 - 0.3,FALSE,NA,,11,12.28333333,0.620512218,0.269463741,0.2,0.25 - 0.3,FALSE,NA
,12,9.7,0.279845578,0.2,0.25 - 0.3,FALSE,NA,,12,13.58333333,0.563207506,0.279845578,0.2,0.25 - 0.3,FALSE,NA
,13,10.53333333,0.294668231,0.2,0.25 - 0.3,FALSE,NA,,13,14.625,0.525231953,0.294668231,0.2,0.25 - 0.3,FALSE,NA
,14,10.95,0.310011769,0.2,0.3 - 0.35,FALSE,NA,,14,14.39166667,0.539210948,0.310011769,0.2,0.3 - 0.35,FALSE,NA
