,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
1,95.59098599,0.146567347,0.2,0.0 - 0.15
2,93.41123292,0.161381224,0.2,0.15 - 0.2
3,95.38962183,0.168063061,0.2,0.15 - 0.2
4,94.14484211,0.180549592,0.2,0.15 - 0.2
5,93.74973625,0.182137823,0.2,0.15 - 0.2
6,92.25257085,0.205185238,0.2,0.2 - 0.25
7,89.73624698,0.209392721,0.2,0.2 - 0.25
8,88.02827436,0.224990068,0.2,0.2 - 0.25
9,88.14881827,0.242270408,0.2,0.2 - 0.25
10,86.24124171,0.250225578,0.2,0.25 - 0.3
11,80.44888793,0.269463741,0.2,0.25 - 0.3
12,82.58574583,0.279845578,0.2,0.25 - 0.3
13,77.0012521,0.294668231,0.2,0.25 - 0.3
14,74.0092309,0.310011769,0.2,0.3 - 0.35
15,73.6060815,0.32523415,0.2,0.3 - 0.35
16,68.73587524,0.34836068,0.2,0.3 - 0.35
17,64.40204294,0.362602245,0.2,0.35 - 0.4
18,57.62495802,0.381713673,0.2,0.35 - 0.4
19,54.56209796,0.401017551,0.2,0.4 - 0.45
20,54.70550501,0.417933537,0.2,0.4 - 0.45
21,45.65999185,0.44222102,0.2,0.4 - 0.45
22,46.21589333,0.455614082,0.2,0.45 - 0.5
23,45.53619705,0.473554966,0.2,0.45 - 0.5
24,38.54382448,0.490999048,0.2,0.45 - 0.5
25,37.23919268,0.50013068,0.2,0.5 - 0.55
26,36.42831536,0.531823401,0.2,0.5 - 0.55
27,30.23319963,0.549528639,0.2,0.5 - 0.55
28,30.14381173,0.55994932,0.2,0.55 - 0.6
29,30.10369469,0.58271551,0.2,0.55 - 0.6
30,26.66225236,0.594771905,0.2,0.55 - 0.6
31,24.59467447,0.614812381,0.2,0.6 - 0.65
32,24.73133286,0.629918231,0.2,0.6 - 0.65
33,22.4343294,0.647138844,0.2,0.6 - 0.65
34,19.62158999,0.669324762,0.2,0.65 - 0.7
35,18.48970788,0.682761293,0.2,0.65 - 0.7
36,18.34592478,0.701075918,0.2,0.7 - 0.75
37,16.54632637,0.713292177,0.2,0.7 - 0.75
38,16.52197162,0.723303333,0.2,0.7 - 0.75
39,14.79463315,0.743146531,0.2,0.7 - 0.75
40,14.8867061,0.75485415,0.2,0.75 - 0.8
41,13.54239762,0.769008912,0.2,0.75 - 0.8
42,13.20215492,0.777992313,0.2,0.75 - 0.8
43,13.25795817,0.788118707,0.2,0.75 - 0.8
44,12.03837702,0.804062245,0.2,0.8 - 1.0
45,12.23616133,0.814685238,0.2,0.8 - 1.0
46,11.34843836,0.827327619,0.2,0.8 - 1.0
47,11.48106419,0.836064082,0.2,0.8 - 1.0
