,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
1,79.18757049,0.146567347,0.2,0.0 - 0.15
2,77.75241337,0.161381224,0.2,0.15 - 0.2
3,81.25246046,0.168063061,0.2,0.15 - 0.2
4,71.44246169,0.180549592,0.2,0.15 - 0.2
5,78.82244505,0.182137823,0.2,0.15 - 0.2
6,70.65127678,0.205185238,0.2,0.2 - 0.25
7,74.53753207,0.209392721,0.2,0.2 - 0.25
8,71.29267174,0.224990068,0.2,0.2 - 0.25
9,67.56822915,0.242270408,0.2,0.2 - 0.25
10,61.68509372,0.250225578,0.2,0.25 - 0.3
11,62.05122177,0.269463741,0.2,0.25 - 0.3
12,56.32075061,0.279845578,0.2,0.25 - 0.3
13,52.52319528,0.294668231,0.2,0.25 - 0.3
14,53.92109478,0.310011769,0.2,0.3 - 0.35
15,52.65504624,0.32523415,0.2,0.3 - 0.35
16,47.7900391,0.34836068,0.2,0.3 - 0.35
17,42.00370159,0.362602245,0.2,0.35 - 0.4
18,42.75507293,0.381713673,0.2,0.35 - 0.4
19,40.00011135,0.401017551,0.2,0.4 - 0.45
20,37.19478597,0.417933537,0.2,0.4 - 0.45
21,35.69663564,0.44222102,0.2,0.4 - 0.45
22,31.40949547,0.455614082,0.2,0.45 - 0.5
23,31.92061386,0.473554966,0.2,0.45 - 0.5
24,27.60962594,0.490999048,0.2,0.45 - 0.5
25,28.81083966,0.50013068,0.2,0.5 - 0.55
26,25.75030285,0.531823401,0.2,0.5 - 0.55
27,21.84596775,0.549528639,0.2,0.5 - 0.55
28,21.70814072,0.55994932,0.2,0.55 - 0.6
29,20.46486899,0.58271551,0.2,0.55 - 0.6
30,20.36449,0.594771905,0.2,0.55 - 0.6
31,19.58755979,0.614812381,0.2,0.6 - 0.65
32,19.29624342,0.629918231,0.2,0.6 - 0.65
33,16.70885114,0.647138844,0.2,0.6 - 0.65
34,16.02871364,0.669324762,0.2,0.65 - 0.7
35,15.49963614,0.682761293,0.2,0.65 - 0.7
36,15.00067053,0.701075918,0.2,0.7 - 0.75
37,13.99825192,0.713292177,0.2,0.7 - 0.75
38,13.3704919,0.723303333,0.2,0.7 - 0.75
39,13.40229255,0.743146531,0.2,0.7 - 0.75
40,12.5260039,0.75485415,0.2,0.75 - 0.8
41,11.68086397,0.769008912,0.2,0.75 - 0.8
42,11.78708411,0.777992313,0.2,0.75 - 0.8
43,11.39185431,0.788118707,0.2,0.75 - 0.8
44,11.42951393,0.804062245,0.2,0.8 - 1.0
45,11.07736734,0.814685238,0.2,0.8 - 1.0
46,10.81584796,0.827327619,0.2,0.8 - 1.0
47,10.52323267,0.836064082,0.2,0.8 - 1.0
48,9.971793774,0.843468231,0.2,0.8 - 1.0
49,9.723747821,0.856123197,0.2,0.8 - 1.0
50,9.622519142,0.862204966,0.2,0.8 - 1.0
51,9.521570924,0.873972449,0.2,0.8 - 1.0
52,9.30838771,0.881794558,0.2,0.8 - 1.0
53,9.337684451,0.88524449,0.2,0.8 - 1.0
54,9.31216767,0.893824354,0.2,0.8 - 1.0
55,9.157821149,0.900816735,0.2,0.8 - 1.0
56,98.85120516,0.124137143,0.3,0.0 - 0.15
57,97.92218709,0.138422449,0.3,0.0 - 0.15
58,98.48901782,0.147763129,0.3,0.0 - 0.15
59,97.80940899,0.154789932,0.3,0.15 - 0.2
60,97.94470027,0.166474354,0.3,0.15 - 0.2
