Observed,Province,fT,PCR.05.U95,PCR.05.L95,propDel.U95,propDel.L95,PCR.05,propDel,FigA,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province,FigB,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province
,Bas-Uele,0.2273998,79.1,54.9,1.8,0,68.2,0.2,,68.76946629,2.606018912,Bas-Uele,,67.74481491,2.297441523,Bas-Uele
,Equateur,0.2976869,42.5,11.4,18.7,0.4,23.6,2.8,,23.63118472,6.459870095,Equateur,,22.54141329,3.578469661,Equateur
,Haut-Katanga,0.3545706,47.8,19.1,10.5,1.1,31.7,3.5,,33.06676488,6.027780607,Haut-Katanga,,32.60179937,3.335192968,Haut-Katanga
,Haut-Lomami,0.4172222,52.2,34,12.5,1,42.8,3.7,,42.66442706,4.490684473,Haut-Lomami,,42.38987075,3.094324739,Haut-Lomami
,Haut-Uele,0.3517072,67.7,46.6,0,0,57.5,0,,58.00836383,3.351088465,Haut-Uele,,57.60163453,2.900440319,Haut-Uele
,Ituri,0.2635474,57.8,30.6,19.7,6.4,43.7,11.5,,43.00769312,4.42505879,Ituri,,42.92685486,2.895938302,Ituri
,Kasai,0.4324363,51.2,20.9,5.1,0.3,34.5,1.3,,35.64403806,6.50807936,Kasai,,34.25209371,3.377638569,Kasai
,Kasai-Central,0.3143794,59.7,42.1,9.2,1.2,50.9,3.4,,51.98710496,3.8048295,Kasai-Central,,51.39093783,2.651748031,Kasai-Central
,Kasai-Oriental,0.2954407,52.6,22.8,11.1,0.9,36.4,3.2,,37.73155499,4.789807814,Kasai-Oriental,,36.51626443,3.657570641,Kasai-Oriental
,Kinshasa,0.3369646,32.1,19.9,32.8,13.9,25.6,21.9,,24.35603295,5.877665353,Kinshasa,,24.52004219,4.100169897,Kinshasa
,Kongo Central,0.3903037,55.4,31.6,11.7,1.5,43.1,4.2,,43.94155947,4.13618823,Kongo Central,,43.37937917,3.09265968,Kongo Central
,Kwango,0.5566261,27.4,13.3,27.4,5.4,19.4,12.8,,20.14072585,12.21318109,Kwango,,18.90892038,3.143080296,Kwango
,Kwilu,0.3887891,24.9,14,8.2,1.1,18.9,3,,18.14310051,7.093653867,Kwilu,,17.97220467,3.971047768,Kwilu
,Lomami,0.376923,73.3,52.7,5.9,0.5,63.6,1.8,,64.06192212,2.827557007,Lomami,,63.37117629,2.372295762,Lomami
,Lualaba,0.3861111,59.9,30.8,25.5,1.1,44.9,5.7,,44.73197782,4.432952714,Lualaba,,44.62923729,3.242332232,Lualaba
,Mai-Ndombe,0.4452413,56.8,31.9,29.6,2.6,44,9.6,,44.78970496,4.624038062,Mai-Ndombe,,43.71210537,3.183486898,Mai-Ndombe
,Maniema,0.5813149,63.1,38,10,2.1,50.6,4.6,,51.11111111,4.097027011,Maniema,,50.44377154,2.582753957,Maniema
,Mongala,0.4421296,45.7,28.3,19,0.9,36.6,4.4,,35.49446475,5.267317541,Mongala,,34.90134175,3.11111366,Mongala
,North-Kivu,0.3588664,17.3,8.5,29.4,7.5,12.2,15.5,,11.81559236,17.02082575,North-Kivu,,11.53302257,3.402426917,North-Kivu
,Nord-Ubangi,0.3719008,74.6,46.6,15.9,1.7,61.5,5.3,,60.2032714,3.311101565,Nord-Ubangi,,59.61820852,2.464777434,Nord-Ubangi
,Sankuru,0.355222,48,12.2,33.8,5.6,26.4,14.8,,27.16549753,6.050133038,Sankuru,,26.4274062,3.289914215,Sankuru
,South-Kivu,0.4035748,20,9.8,39.9,7.1,14.2,18.3,,14.06374291,21.51357894,South-Kivu,,12.82266968,5.142038361,South-Kivu
,Sud-Ubangi,0.3225318,36.2,23.6,26.1,5.4,29.5,12.4,,29.74247563,6.533641649,Sud-Ubangi,,28.86668781,3.239196639,Sud-Ubangi
,Tanganyka,0.3511891,75.9,45.1,9.5,0.3,61.7,1.7,,61.75100738,2.748109391,Tanganyka,,61.66728694,2.158754775,Tanganyka
,Tshopo,0.4270562,54.6,36.3,12.3,1.5,45.3,4.5,,46.08458961,4.552539328,Tshopo,,46.07802232,2.887117751,Tshopo
,Tshuapa,0.3619377,39.5,16.4,22.1,2.7,26.3,8.1,,26.55723681,6.983012938,Tshuapa,,26.15441254,3.512586551,Tshuapa
,,,,,,,,,,68.14526725,2.653122725,Bas-Uele,,67.78357305,2.381176413,Bas-Uele
,,,,,,,,,,23.2215047,5.06663542,Equateur,,22.26707912,3.592452859,Equateur
,,,,,,,,,,32.12252214,5.328165072,Haut-Katanga,,31.17282343,3.82828266,Haut-Katanga
,,,,,,,,,,43.52053557,5.380993658,Haut-Lomami,,42.58798624,3.305996937,Haut-Lomami
,,,,,,,,,,58.39290373,3.474491383,Haut-Uele,,57.85508763,2.703075734,Haut-Uele
,,,,,,,,,,43.09502548,4.587164464,Ituri,,42.97225187,3.406976725,Ituri
,,,,,,,,,,34.5006898,5.420331066,Kasai,,34.54133038,2.723720821,Kasai
,,,,,,,,,,51.81014523,3.213678998,Kasai-Central,,51.03254234,2.885359,Kasai-Central
,,,,,,,,,,37.34293675,4.892385969,Kasai-Oriental,,36.60737709,3.554049963,Kasai-Oriental
,,,,,,,,,,25.0198823,6.414039491,Kinshasa,,24.43431804,3.562374282,Kinshasa
,,,,,,,,,,43.67338349,4.354861511,Kongo Central,,43.23021507,3.09622971,Kongo Central
,,,,,,,,,,20.55005034,11.25927109,Kwango,,18.46113307,3.379947027,Kwango
,,,,,,,,,,19.59698264,6.698926502,Kwilu,,18.81428345,2.849353028,Kwilu
,,,,,,,,,,64.05969834,2.527021912,Lomami,,63.72107633,2.032348112,Lomami
,,,,,,,,,,45.18965607,4.406586886,Lualaba,,44.34498736,3.07140074,Lualaba
,,,,,,,,,,44.51048023,4.244514456,Mai-Ndombe,,43.30213126,3.59091232,Mai-Ndombe
,,,,,,,,,,51.27109705,4.073159798,Maniema,,50.36793901,2.569433595,Maniema
,,,,,,,,,,36.27476744,6.244309718,Mongala,,35.15186487,3.043948428,Mongala
,,,,,,,,,,12.31020666,21.84184137,North-Kivu,,11.05148504,2.349976656,North-Kivu
,,,,,,,,,,61.13233577,3.075152066,Nord-Ubangi,,60.67339363,2.649427607,Nord-Ubangi
,,,,,,,,,,27.331967,7.29823708,Sankuru,,26.61184037,3.167339455,Sankuru
,,,,,,,,,,14.03583165,20.00488676,South-Kivu,,13.13880044,3.933768799,South-Kivu
,,,,,,,,,,30.72377366,5.886849094,Sud-Ubangi,,30.20274144,2.718779353,Sud-Ubangi
,,,,,,,,,,61.75668589,2.841754638,Tanganyka,,60.99569825,2.546174649,Tanganyka
,,,,,,,,,,46.62618796,4.374003858,Tshopo,,45.24803212,2.923130102,Tshopo
,,,,,,,,,,26.83042789,6.851103317,Tshuapa,,26.05282699,3.681145307,Tshuapa
,,,,,,,,,,68.18134117,2.623480974,Bas-Uele,,68.03291577,2.241319134,Bas-Uele
,,,,,,,,,,23.06451613,6.777442067,Equateur,,22.89700021,3.681443861,Equateur
,,,,,,,,,,32.80916428,5.894349125,Haut-Katanga,,32.40071256,3.090837606,Haut-Katanga
,,,,,,,,,,43.34775269,5.218609156,Haut-Lomami,,42.34366789,3.118585785,Haut-Lomami
,,,,,,,,,,58.01506749,3.555622038,Haut-Uele,,57.3138854,2.768714266,Haut-Uele
,,,,,,,,,,44.17213635,4.748556925,Ituri,,43.69204684,3.305425653,Ituri
,,,,,,,,,,34.88676871,6.607017489,Kasai,,34.55785883,3.156451375,Kasai
,,,,,,,,,,51.36083351,3.523983732,Kasai-Central,,51.56052299,3.314339531,Kasai-Central
,,,,,,,,,,37.45488781,5.137786842,Kasai-Oriental,,36.76540222,3.234837627,Kasai-Oriental
,,,,,,,,,,25.01458035,6.562381922,Kinshasa,,24.69738798,3.332264217,Kinshasa
,,,,,,,,,,44.03813915,4.322459555,Kongo Central,,42.35275738,3.425170002,Kongo Central
,,,,,,,,,,19.33075661,8.845440399,Kwango,,18.87579904,3.418884336,Kwango
,,,,,,,,,,18.89751223,6.764449146,Kwilu,,18.28504722,3.481940177,Kwilu
,,,,,,,,,,64.2028068,2.741037479,Lomami,,63.75919453,2.225519843,Lomami
,,,,,,,,,,45.3403902,4.574860608,Lualaba,,44.4915698,3.034704557,Lualaba
,,,,,,,,,,44.31112734,4.77008807,Mai-Ndombe,,43.63893694,3.002201595,Mai-Ndombe
,,,,,,,,,,51.84855,3.963728552,Maniema,,51.31812951,2.78167381,Maniema
,,,,,,,,,,36.65184715,6.24012021,Mongala,,35.24417256,3.299809273,Mongala
,,,,,,,,,,11.92230761,17.66657143,North-Kivu,,10.94111462,5.052532508,North-Kivu
,,,,,,,,,,60.05906238,3.218158587,Nord-Ubangi,,59.37664249,2.538586489,Nord-Ubangi
,,,,,,,,,,26.30252101,6.514977239,Sankuru,,26.59331313,3.259132359,Sankuru
,,,,,,,,,,14.26998689,14.69144951,South-Kivu,,13.31668747,3.470251751,South-Kivu
,,,,,,,,,,29.32774002,5.349421237,Sud-Ubangi,,29.75049001,3.34458553,Sud-Ubangi
,,,,,,,,,,61.29564569,3.030137187,Tanganyka,,61.88535436,2.253980504,Tanganyka
,,,,,,,,,,46.1967973,4.385382075,Tshopo,,45.54927218,2.983844227,Tshopo
,,,,,,,,,,26.83119343,7.123004427,Tshuapa,,26.06318667,4.111083481,Tshuapa
,,,,,,,,,,67.64736677,2.353927793,Bas-Uele,,67.62966093,2.462737944,Bas-Uele
,,,,,,,,,,23.32307366,5.516832471,Equateur,,22.36190273,4.666123991,Equateur
,,,,,,,,,,31.67763502,5.838936781,Haut-Katanga,,30.60515089,3.525729391,Haut-Katanga
,,,,,,,,,,43.0499183,4.938651773,Haut-Lomami,,42.35602094,3.405916491,Haut-Lomami
,,,,,,,,,,57.94495413,3.678578413,Haut-Uele,,57.91043214,2.551696201,Haut-Uele
,,,,,,,,,,43.28880407,4.311057712,Ituri,,43.14383023,3.074627275,Ituri
