"","NAME","COUNTRY_ID","GAUL_CODE","Country","PfPR_2010","ft","hrp2_concern..High...4..Moderate...3..Slight...2..Marginal...1.","Years.at.which.20..population.only.infected.with.hrp2.deletions..NA.means..20..or.NA.due.to.no.malaria.prealence."
"0","Administrative unit not available","SDN",124,"Sudan",0.0443,0.390642,4,3.70770770122185
"1","Adrar","DZA",341,NA,NA,NA,NA,NA
"2","Ain-Defla","DZA",342,NA,NA,NA,NA,NA
"3","Ain-Temouchent","DZA",343,NA,NA,NA,NA,NA
"4","Alger","DZA",344,NA,NA,NA,NA,NA
"5","Annaba","DZA",345,NA,NA,NA,NA,NA
"6","Batna","DZA",346,NA,NA,NA,NA,NA
"7","Bechar","DZA",347,NA,NA,NA,NA,NA
"8","Bejaia","DZA",348,NA,NA,NA,NA,NA
"9","Biskra","DZA",349,NA,NA,NA,NA,NA
"10","Blida","DZA",350,NA,NA,NA,NA,NA
"11","Bordj Bou Arrer","DZA",351,NA,NA,NA,NA,NA
"12","Bouira","DZA",352,NA,NA,NA,NA,NA
"13","Boumerdes","DZA",353,NA,NA,NA,NA,NA
"14","Chlef","DZA",354,NA,NA,NA,NA,NA
"15","Constantine","DZA",355,NA,NA,NA,NA,NA
"16","Djelfa","DZA",356,NA,NA,NA,NA,NA
"17","El Bayadh","DZA",357,NA,NA,NA,NA,NA
"18","El Oued","DZA",358,NA,NA,NA,NA,NA
"19","El-Tarf","DZA",359,NA,NA,NA,NA,NA
"20","Ghardaia","DZA",360,NA,NA,NA,NA,NA
"21","Guelma","DZA",361,NA,NA,NA,NA,NA
"22","Illizi","DZA",362,NA,NA,NA,NA,NA
"23","Jijel","DZA",363,NA,NA,NA,NA,NA
"24","Khenchela","DZA",364,NA,NA,NA,NA,NA
"25","Laghouat","DZA",365,NA,NA,NA,NA,NA
"26","Mascara","DZA",366,NA,NA,NA,NA,NA
"27","Medea","DZA",367,NA,NA,NA,NA,NA
"28","Mila","DZA",368,NA,NA,NA,NA,NA
"29","Mostaganem","DZA",369,NA,NA,NA,NA,NA
"30","M'Sila","DZA",370,NA,NA,NA,NA,NA
"31","Naama","DZA",371,NA,NA,NA,NA,NA
"32","Oran","DZA",372,NA,NA,NA,NA,NA
"33","Ouargla","DZA",373,NA,NA,NA,NA,NA
"34","Oum El Bouaghi","DZA",374,NA,NA,NA,NA,NA
"35","Relizane","DZA",375,NA,NA,NA,NA,NA
"36","Saida","DZA",376,NA,NA,NA,NA,NA
"37","Setif","DZA",377,NA,NA,NA,NA,NA
"38","Sidi Bel Abbes","DZA",378,NA,NA,NA,NA,NA
"39","Skikda","DZA",379,NA,NA,NA,NA,NA
"40","Souk-Ahras","DZA",380,NA,NA,NA,NA,NA
"41","Tamanrasset","DZA",381,NA,NA,NA,NA,NA
"42","Tebessa","DZA",382,NA,NA,NA,NA,NA
"43","Tindouf","DZA",383,NA,NA,NA,NA,NA
"44","Tiaret","DZA",384,NA,NA,NA,NA,NA
"45","Tipaza","DZA",385,NA,NA,NA,NA,NA
"46","Tissemsilt","DZA",386,NA,NA,NA,NA,NA
"47","Tizi Ouzou","DZA",387,NA,NA,NA,NA,NA
"48","Tlemcen","DZA",388,NA,NA,NA,NA,NA
"49","Bengo","AGO",398,"Angola",0.1244,0.407833,4,4.13945073003682
"50","Benguela","AGO",399,"Angola",0.0607,0.240248,3,7.36384987720261
"51","Bie","AGO",400,"Angola",0.069,0.323525,4,4.81770212504947
"52","Cabinda","AGO",401,"Angola",0.142,0.375383,4,5.09280170498068
"53","Cuando Cubango","AGO",402,"Angola",0.0547,0.362102,4,4.17278692209998
"54","Cuanza Sul","AGO",403,"Angola",0.1465,0.270682,3,7.73161486372341
"55","Cunene","AGO",404,"Angola",0.0661,0.361567,4,4.18065613082973
"56","Huambo","AGO",405,"Angola",0.0295,0.342347,4,4.4909548875042
"57","Huila","AGO",406,"Angola",0.1043,0.275228,3,6.36225236333616
"58","Kuanza Norte","AGO",407,"Angola",0.2015,0.330498,3,7.79588464110609
"59","Luanda","AGO",408,"Angola",0.0244,0.281223,4,5.88995701785188
"60","Lunda Norte","AGO",409,"Angola",0.1327,0.468704,4,3.64693119297172
"61","Lunda Sul","AGO",410,"Angola",0.0836,0.419702,4,3.29310540216807
"62","Malanje","AGO",411,"Angola",0.2025,0.362025,3,7.1082605888607
"63","Moxico","AGO",412,"Angola",0.0823,0.349955,4,4.36973427980582
"64","Namibe","AGO",413,"Angola",0.0479,0.201517,3,9.14392760623413
"65","Uige","AGO",414,"Angola",0.0986,0.342235,4,4.64177003257346
"66","Zaire","AGO",415,"Angola",0.2886,0.435715,3,8.4336245359132
"67","Alibori","BEN",609,"Benin",0.4993,0.364492,1,NA
"68","Atakora","BEN",610,"Benin",0.6304,0.461653,1,NA
"69","Atlantique","BEN",611,"Benin",0.1747,0.408527,4,5.42464046834198
"70","Borgou","BEN",612,"Benin",0.4132,0.461578,2,14.4302191002599
"71","Collines","BEN",613,"Benin",0.3069,0.440808,3,9.07350775135297
"72","Couffo","BEN",614,"Benin",0.2744,0.436174,3,7.94320622268601
"73","Donga","BEN",615,"Benin",0.5265,0.461653,1,NA
"74","Littoral","BEN",616,"Benin",0.0741,0.408527,4,3.447060361663
"75","Mono","BEN",617,"Benin",0.2093,0.436174,4,5.9520835341681
"76","Oueme","BEN",618,"Benin",0.1286,0.419361,4,4.08018801183203
"77","Plateau","BEN",619,"Benin",0.2455,0.419361,3,7.36072732715228
"78","Zou","BEN",620,"Benin",0.27,0.440808,3,7.73803844717663
"79","Central","BWA",654,"Botswana",0.0102,0.304621,4,5.2254425496698
"80","Chobe","BWA",655,"Botswana",0.022,0.3046,4,5.2254425496698
"81","Ghanzi","BWA",656,"Botswana",0.0233,0.348363,4,4.3936731443746
"82","Kgalagadi","BWA",657,"Botswana",3e-04,0.29992,4,5.34983946224003
"83","Kgatleng","BWA",658,"Botswana",8e-04,0.270359,3,6.26221449357577
"84","Kweneng","BWA",659,"Botswana",0.01,0.314123,4,5.00998250200497
"85","Ngamiland","BWA",660,"Botswana",0.0164,0.3046,4,5.2254425496698
"86","North East","BWA",661,"Botswana",0.005,0.214898,3,8.45668388310528
"87","South-East","BWA",662,"Botswana",0.023,0.198,3,9.33539779366385
"88","Southern","BWA",663,"Botswana",0.0164,0.454359,4,2.90699064010431
"89","Abim","UGA",743,"Uganda",0.3622,0.355542,2,14.2069292966842
"90","Amudat","UGA",744,"Uganda",0.1083,0.355542,4,4.63029321481947
"91","Amuru","UGA",745,"Uganda",0.5347,0.355542,1,NA
"92","Apac","UGA",746,"Uganda",0.5959,0.355542,1,NA
"93","Budaka","UGA",747,"Uganda",0.5676,0.470204,1,NA
"94","Bugiri","UGA",748,"Uganda",0.7224,0.4572,1,NA
"95","Buikwe","UGA",749,"Uganda",0.4081,NA,NA,NA
"96","Bukomansimbi","UGA",750,"Uganda",0.5083,0.398838,1,NA
"97","Bukwo","UGA",751,"Uganda",0.0635,0.470204,4,2.76315684314486
"98","Bulambuli","UGA",752,"Uganda",0.2765,0.470204,3,7.50929835552886
"99","Buliisa","UGA",753,"Uganda",0.4224,0.380436,2,17.5707043027356
"100","Bundibugyo","UGA",754,"Uganda",0.2308,0.380436,3,7.64224517416919
"101","Bushenyi","UGA",755,"Uganda",0.1281,0.260009,3,7.55136246427164
"102","Buyende","UGA",756,"Uganda",0.6194,0.4572,1,NA
"103","Butambala","UGA",757,"Uganda",0.3077,0.398838,3,9.96281247914286
"104","Iganga","UGA",758,"Uganda",0.7186,0.4572,1,NA
"105","Kalungu","UGA",759,"Uganda",0.4148,0.398838,2,16.2831381251394
"106","Kamuli","UGA",760,"Uganda",0.6448,0.4572,1,NA
